loc,popgroup1,popgroup2,popgroup3,popgroup4,popgroup5,popgroup6,popgroup7,popgroup8,popgroup9,popgroup10,popgroup11,popgroup12,popgroup13,popgroup14,popgroup15,popgroup16,popgroup17,popgroup18,popgroup19,popgroup20,popgroup21
loc11,9.314654968372565e-11,2.1374078368541173e-10,2.329708756110487e-10,1.603775266976386e-10,7.820293828524357e-11,2.8712015416300968e-11,8.235582392887077e-12,1.8897960694608703e-12,3.5233755473417607e-13,5.3899942493051136e-14,6.8025480208334115e-15,7.095280354976761e-16,6.1055030568355e-17,4.310808365437178e-18,2.472972862319427e-19,1.1349323392431818e-20,4.0692148629536692e-22,1.0985310109149091e-23,2.100640334799787e-25,2.5369898177477224e-27,1.4553899035673205e-29
loc12,1.3949964341646602e-10,3.488349629874259e-10,4.143434958009066e-10,3.108341236191203e-10,1.6517127974221092e-10,6.608477652771855e-11,2.0656576613297246e-11,5.165415453309999e-12,1.0494833103344874e-12,1.7495694505038818e-13,2.4062502151251335e-14,2.735048388180979e-15,2.56473909151401e-16,1.973361903463733e-17,1.233654813905986e-18,6.169792564464125e-20,2.410668528601074e-21,7.091947008140878e-23,1.4778526856802949e-24,1.9450217116744534e-26,1.2159378335758713e-28
loc13,1.947705655906905e-10,5.407668329668265e-10,7.131655864237054e-10,5.940162894454986e-10,3.504644819020285e-10,1.5568641380344456e-10,5.4031552889629515e-11,1.5001482204352708e-11,3.3841083725579375e-12,6.263826574598019e-13,9.56509165950892e-14,1.2071275918606154e-14,1.2568144527979033e-15,1.0736791681895357e-16,7.45248751580439e-18,4.138261917989712e-19,1.795249118327796e-20,5.863980507831196e-22,1.35674426223067e-23,1.9825817963583327e-25,1.3761248726969157e-27
loc14,3.0194044553247116e-10,8.827131277530192e-10,1.2257770589606854e-9,1.0750558770637347e-9,6.67864356468452e-10,3.123967755818263e-10,1.1416023381179372e-10,3.33743751604114e-11,7.92747364933707e-12,1.5450475226100962e-12,2.4842930560124295e-13,3.301250185070936e-14,3.619161807579644e-15,3.2555392309786266e-16,2.37936591438754e-17,1.3911998603923932e-18,6.354887188157398e-20,2.18568319733836e-21,5.324811785310274e-23,8.193113184113275e-25,5.988075357070213e-27
loc15,4.899865290744707e-10,1.4733420196718017e-9,2.104343435195368e-9,1.8982670479228347e-9,1.2129298328945936e-9,5.835459984886217e-10,2.1933328493964366e-10,6.595139373007352e-11,1.6112642903746146e-11,3.22994374054826e-12,5.341670338800941e-13,7.300856895963743e-14,8.232363498404853e-15,7.616590594422251e-16,5.725587492474599e-17,3.4432573711380785e-18,1.6177408294726703e-19,5.722811689880874e-21,1.4339950238524848e-22,2.2694126849750203e-24,1.705976016863988e-26
loc16,7.016615568828051e-10,2.261857044058261e-9,3.4633488009233706e-9,3.3493070004579125e-9,2.294306109469523e-9,1.1833380088221184e-9,4.768220134944711e-10,1.5370704286206852e-10,4.025822354017957e-11,8.651687374766284e-12,1.5339138808171055e-12,2.2475831456915868e-13,2.7169678816240823e-14,2.6948749255357386e-15,2.1717813144339929e-16,1.4001789939952833e-17,7.052466858497688e-19,2.6746046681716537e-20,7.184818841117344e-22,1.21898873254211e-23,9.823747019777743e-26
loc17,1.1161195296258175e-9,3.691559169992902e-9,5.799660478399217e-9,5.7547034847758e-9,4.0446506125772765e-9,2.140425524249397e-9,8.849306976084734e-10,2.926903387005485e-10,7.865582368498349e-11,1.7343580114876013e-11,3.1550087407997297e-12,4.743260889568481e-13,5.883115932403407e-14,5.9871918159093955e-15,4.950650952666466e-16,3.27485012790288e-17,1.6924294815539994e-18,6.585530762253177e-20,1.815133880479659e-21,3.1597606676711536e-23,2.612722732222721e-25
loc18,1.8718364006895027e-9,6.2107932999261465e-9,9.78858401572611e-9,9.743619474155177e-9,6.8700268819030236e-9,3.647183432288734e-9,1.5126791006225602e-9,5.019101679839223e-10,1.3530958152681045e-10,2.993067278931593e-11,5.462083763011002e-12,8.237868638337262e-13,1.0250034269650384e-13,1.0464564127425138e-14,8.68041202015824e-16,5.760358629155641e-17,2.986405219323755e-18,1.1657595918487026e-19,3.2233460946478256e-21,5.629016544115533e-23,4.669299387554397e-25
loc19,3.098853431593814e-9,1.0324693209182073e-8,1.633980560972493e-8,1.6332183861756308e-8,1.156323401552276e-8,6.164181500115545e-9,2.567210916848508e-9,8.553378113817855e-10,2.3154593493158048e-10,5.143065104076765e-11,9.424554529486899e-12,1.4272967302577285e-12,1.783288704638792e-13,1.8281609073243668e-14,1.5227567971354505e-15,1.0146976686492727e-16,5.282418542121766e-18,2.0705704091127135e-19,5.7489016271157025e-21,1.0081087782269036e-22,8.3969878589279191e-25
loc20,4.647491184125994e-9,1.6030414446021237e-8,2.6264221735318487e-8,2.7177654104482102e-8,1.992035516847792e-8,1.099368365808558e-8,4.740011824269464e-9,1.6349542368496221e-9,4.5820006526379577e-10,1.0536346965664299e-10,1.998844130161426e-11,3.1338804441149902e-12,4.0535904496469807e-13,4.3021216147574126e-14,3.7097860840115255e-15,2.5592047871295005e-16,1.3792761972461152e-17,5.597041045160215e-19,1.6088050532827953e-20,2.9206263342415608e-22,2.518501312050413e-24
loc21,7.625510193843885e-9,2.6306356379017517e-8,4.310683153853909e-8,4.4612765991915615e-8,3.270467803770112e-8,1.8051847419528212e-8,7.784369823233729e-9,2.685438764757997e-9,7.527147331713857e-10,1.7311350558138517e-10,3.284622275551845e-11,5.150561134130752e-12,6.663119579972981e-13,7.07271307093496e-14,6.099831548345298e-15,4.208619187009662e-16,2.2685661635800102e-17,9.207130902254314e-19,2.6468837339620565e-20,4.805881493027897e-22,4.14481221771168e-24
loc22,1.0930986505856327e-8,3.9321837155051833e-8,6.718956850779321e-8,7.250994052456758e-8,5.5428219152879903e-8,3.1902546488829634e-8,1.4345305627185873e-8,5.160410467156281e-9,1.508280302023975e-9,3.617139367283053e-10,7.156527985847977e-11,1.170183944947863e-11,1.578555461349841e-12,1.7472334128914151e-13,1.5713226728615206e-14,1.1304980429204371e-15,6.354249786262182e-17,2.6891795464320223e-18,8.061446859412305e-20,1.5262786761001632e-21,1.372613567921907e-23
loc23,1.686952459615432e-8,6.151162409251458e-8,1.0653815058882283e-7,1.165415415208319e-7,9.030130835165812e-8,5.268274256554406e-8,2.4012243486645192e-8,8.755623708003995e-9,2.5939691590676693e-9,6.30562151334605e-10,1.2645760103866216e-10,2.0959291991021465e-11,2.8659078746894577e-12,3.215386728286479e-13,2.9310793350321616e-14,2.1375285262388154e-15,1.2178289543259591e-16,5.224223154286405e-18,1.587430877745524e-19,3.0464606493320314e-21,2.7770898522692943e-23
loc24,1.6308055468631834e-8,6.921092192186047e-8,1.3952135913332e-7,1.776373997252202e-7,1.6020121148820773e-7,1.0878229901952124e-7,5.7708621503053065e-8,2.4491374245988457e-8,8.445181325212924e-9,2.389407232679316e-9,5.577316851553732e-10,1.0759078873874334e-10,1.7122958865094995e-11,2.2359799592724126e-12,2.3723587811820075e-13,2.0136445904399726e-14,1.3352890883759188e-15,6.666975032240562e-17,2.3578709782359596e-18,5.2667037526461966e-20,5.587935099176873e-22
loc25,1.8881960796533257e-8,8.725686595107513e-8,1.915339381530676e-7,2.655336171904169e-7,2.60753991161248e-7,1.9279841790280372e-7,1.1136943011245026e-7,5.146577486885726e-8,1.9323883213680774e-8,5.953271150878766e-9,1.5131112897072741e-9,3.1783426038158765e-10,5.5078803291976687e-11,7.83165690402245e-12,9.047866426755948e-13,8.362356817175736e-14,6.038113040918027e-15,3.2827274909210704e-16,1.2641718186112907e-17,3.0747161022416304e-19,3.552201141368863e-21
loc26,1.8433771433619646e-8,9.596226946436358e-8,2.3729054399465757e-7,3.7058513836128404e-7,4.0995222247015474e-7,3.414597672048573e-7,2.221958099414628e-7,1.1567038391594245e-7,4.892511540390403e-8,1.6979578758010024e-8,4.861562946677912e-9,1.1503752900362616e-9,2.2457278472245392e-10,3.597162649918412e-11,4.6815147508156144e-12,4.874192800284136e-13,3.964688233753972e-14,2.4281551231038932e-15,1.0533713310903648e-16,2.8861188105678903e-18,3.7561292327402425e-20
loc27,2.2175631700813998e-8,1.2248676069182446e-7,3.213630260871953e-7,5.325131198417844e-7,6.25032206094773e-7,5.523769246207549e-7,3.813806811150769e-7,2.1065503274259703e-7,9.453842401156065e-8,3.4812102083691614e-8,1.0575626079330045e-8,2.6551958191640737e-9,5.499724978746758e-10,9.346968106962868e-11,1.2906958651257403e-11,1.425827752647787e-12,1.2305527603070575e-13,7.996399116033565e-15,3.680665629343248e-16,1.0700052633650246e-17,1.477539404525425e-19
loc28,3.113725462777397e-8,1.7540827496587487e-7,4.693679665982234e-7,7.932397348075448e-7,9.495834885193907e-7,8.558997440124505e-7,6.027020503079391e-7,3.3952552409232573e-7,1.554052038302452e-7,5.836386680082894e-8,1.808325083582317e-8,4.630454116204966e-9,9.781931385831701e-10,1.6955515983715508e-10,2.3879255295736526e-11,2.6904227935103102e-12,2.368156062067185e-13,1.5694993955480254e-14,7.368000830091791e-16,2.1845692918481468e-17,3.0766322818703377e-19
loc29,4.6749091453504924e-8,2.6389555272615567e-7,7.075947099101425e-7,1.1982977076477994e-6,1.4374162799185222e-6,1.298259288102537e-6,9.160735582327506e-7,5.171175106752233e-7,2.3717642041190275e-7,8.925635502522354e-8,2.771154460171989e-8,7.110447742691919e-9,1.505175404628732e-9,2.614343496012046e-10,3.689449358509427e-11,4.165339891952105e-12,3.6739172319405157e-13,2.439884897033033e-14,1.1477491744966264e-15,3.409983554620092e-17,4.812283335113365e-19
loc30,5.2089717490650926e-8,3.1404806388793193e-7,8.993605803965722e-7,1.6266691159998871e-6,2.084021878089874e-6,2.0103254690346377e-6,1.5150274654691655e-6,9.1340760746692e-7,4.474372244532617e-7,1.7983945241676133e-7,5.963370317521418e-8,1.634230143231842e-8,3.694780158781125e-9,6.85408301295085e-10,1.033078889480789e-10,1.2456831816880741e-11,1.1734693353140927e-12,8.323326629074124e-14,4.181766797251818e-15,1.3269370713423255e-16,2.000020532991812e-18
loc31,7.457692724338456e-8,4.531874772440685e-7,1.308111987622875e-6,2.384732088875873e-6,3.079441408109993e-6,2.99409339514955e-6,2.2743053423760437e-06,1.382045008679992e-6,6.823685021412752e-7,2.764401551228658e-7,9.239260938591684e-8,2.5520428801934243e-8,5.815574857283384e-9,1.087383414565734e-9,1.6519470721683639e-10,2.007703330906848e-11,1.906307606663495e-12,1.3628481544820587e-13,6.901438776330152e-15,2.2072902960090875e-16,3.353303621403899e-18
loc32,8.305795862778331e-8,5.350358809165877e-7,1.637111173135732e-6,3.163742162033104e-6,4.330735615914211e-6,4.463579858804605e-6,3.5941398952800067e-6,2.3152432792458944e-6,1.2117740749102078e-6,5.203937269451026e-7,1.843726072681516e-7,5.398528163419219e-8,1.3040921902403751e-8,2.584797875637816e-9,4.1626342352718147e-10,5.3629025124082455e-11,5.397859589182409e-12,4.0907629380683004e-13,2.1959614992052127e-14,7.445138403143453e-16,1.1989869032066762e-17
loc33,1.1329060058321662e-7,7.395934113722929e-7,2.2934316296449277e-6,4.491653095630655e-6,6.231093898803874e-6,6.508537823223641e-6,5.311199326050571e-6,3.4673026780774997e-6,1.8391378364354886e-6,8.004278198019572e-7,2.87398183358888e-7,8.528261181195569e-8,2.087809717091631e-8,4.193790273076854e-9,6.844565300822343e-10,8.936655599203466e-11,9.115787693949072e-12,7.001231381125834e-13,3.808836577730975e-14,1.3086933413910952e-15,2.1358810170855127e-17
loc34,9.570748154793331e-8,6.935864511288394e-7,2.3875304706515392e-6,5.1906875804849555e-6,7.993528671147844e-6,9.268580626464555e-6,8.39610686612236e-6,6.084608925432572e-6,3.5827025456202465e-6,1.7309088790670784e-6,6.8990867796688e-7,2.2726033335914054e-7,6.176033166930881e-8,1.3771491269420316e-8,2.4950295425768775e-9,3.616266268652805e-10,4.0948230467548995e-11,3.491169427146474e-12,2.1083581747397192e-13,8.041656230857088e-15,1.4569351622644132e-16
loc35,1.0851581732303642e-7,8.206806593671534e-7,2.9481458243162025e-6,6.6888486453763685e-6,1.0749579011372041e-5,1.300746277709592e-5,1.229656352403317e-5,9.299613742771235e-6,5.71438415875428e-6,2.881106598081232e-6,1.1984037779210726e-6,4.1196625311253814e-7,1.1683529573675818e-7,2.718766150210565e-8,5.1403538485495946e-9,7.775067432335705e-10,9.187669054270323e-11,8.174619942931812e-12,5.151900624826376e-13,2.0506664645899903e-14,3.8771820270494206e-16
loc36,1.0628939545040343e-7,8.580987159337822e-7,3.290623363735532e-6,7.969787590975845e-6,1.3672659437793178e-5,1.7661203482817556e-5,1.782286930675344e-5,1.4388811980323199e-5,9.438340098128659e-6,5.079859243047876e-6,2.255597909191e-6,8.277254673593964e-7,2.5059067193756824e-7,6.224849486222484e-8,1.256366011014957e-8,2.0285863067079666e-9,2.55894428833098e-10,2.4304641544718977e-11,1.6351413055191942e-12,6.947827122509267e-14,1.4022851261622448e-15
loc37,1.4233314668197866e-7,1.1579821082790756e-6,4.474981635114183e-6,1.092215437332657e-5,1.8882654351007342e-5,2.4579827150610575e-5,2.49968126965846e-5,2.0336697769580908e-5,1.3443105365792353e-5,7.29128613921523e-6,3.262590971118418e-6,1.2065233954346273e-6,3.6809745420415765e-7,9.214573771423823e-8,1.8741789617297663e-8,3.0495576834892066e-9,3.8766150466866073e-10,3.7104753422398536e-11,2.51561457496419e-12,1.0771750853699832e-13,2.1908977378428805e-15
loc38,1.4010109684034533e-7,1.2079062595712147e-6,4.9467337750228155e-6,1.279474071089866e-5,2.3441323054223565e-5,3.233655865760358e-5,3.484941632900107e-5,3.0046037522585282e-5,2.104758496834817e-5,1.2097697165591077e-5,5.736633369938398e-6,2.248154275308167e-6,7.268571632029465e-7,1.9282236724275563e-7,4.156129923866378e-8,7.166561096020979e-9,9.65433868237752e-10,9.792538799366362e-11,7.0356747018237886e-12,3.192595130945576e-13,6.881380178165774e-15
loc39,1.5959210615936576e-7,1.4187809964933566e-6,5.991187741768894e-6,1.597857848800654e-5,3.0185684691783522e-5,4.293633497293583e-5,4.771324345597924e-5,4.241728787563321e-5,3.063869214450419e-5,1.8158623346372286e-5,8.878703772054282e-6,3.587821617256225e-6,1.1960960785917728e-6,3.2717993526892864e-7,7.271610823437982e-8,1.2928989407392154e-8,1.7959265142900525e-9,1.8783373445277564e-10,1.391541951098864e-11,6.510984466833179e-13,1.447073613525368e-14
loc40,1.6001220008781537e-7,1.4934416209557104e-6,6.6208997822660936e-6,1.853845012615214e-5,3.6767788710065644e-5,5.490635933008349e-5,6.405717988510792e-5,5.9786477849167373e-05,4.533790964207704e-5,2.821014948837146e-5,1.4481155965549694e-5,6.1434977590442005e-6,2.150216181930849e-6,6.174956733367689e-7,1.440817854537182e-7,2.6895166131095445e-8,3.9221970731619284e-9,4.3067101070573057e-10,3.3496509014834245e-11,1.6454364003434933e-12,3.839337256096556e-14
loc41,2.0530734811390816e-7,1.930711939159939e-6,8.624304475573891e-6,2.433090842228799e-5,4.862171208326282e-5,7.315823491673105e-5,8.599757808183339e-5,8.087219101837228e-5,6.179247176047669e-5,3.873979315212293e-5,2.0037012808153723e-5,8.564919466350378e-6,3.0204214115216293e-6,8.739712936714044e-7,2.0547082540833418e-7,3.8644985618811564e-8,5.678402390393493e-9,6.282322514028142e-10,4.923250919055345e-11,2.4367521531481364e-12,5.728809170832181e-14
loc42,2.6932913496465043e-7,2.539212805012076e-6,1.1371256931568714e-5,3.2162180909441495e-5,6.443475598279062e-5,9.719768787780308e-5,1.1454647011605208e-4,1.0799346447453108e-4,8.272496778280625e-5,5.1994943538973234e-5,2.6961221460891294e-5,1.155400752946031e-5,4.0848835206589535e-6,1.184982889944316e-6,2.7929801655711614e-7,5.266397192040751e-8,7.757993293726299e-9,8.604908119625835e-10,6.760530161411966e-11,3.3546167956562434e-12,7.906762412240378e-14
loc43,2.8444834972283063e-7,2.7757590545072466e-6,1.2866301420587122e-5,3.7666331375464925e-5,7.81071162807635e-5,1.2195200173193533e-4,1.4875695945878686e-4,1.45162901293343e-4,1.1509523817043914e-4,7.487631170850914e-5,4.0186990087141245e-5,1.782547640282904e-5,6.523050789484851e-6,1.9585999799332357e-6,4.778197547775253e-7,9.325506806691099e-8,1.421905768534337e-8,1.6324137231245471e-9,1.3274780163897673e-10,6.817922863942149e-12,1.6632994303675925e-13
loc44,3.213017854742881e-7,3.2056526035851123e-6,1.5191945120562623e-5,4.547136116037945e-5,9.640514369970305e-5,1.5389464428590538e-4,1.9192733647771572e-4,1.9148737843791995e-4,1.552268484981747e-4,1.0324734637457217e-4,5.665586897585484e-5,2.569363447269667e-5,9.61302620697179e-6,2.951073881974519e-6,7.360772722721641e-7,1.468779901621755e-7,2.2897078038218806e-8,2.687598906772641e-9,2.2345317347496373e-10,1.1733734119220688e-11,2.9267091741749007e-13
loc45,3.0121234945615073e-7,3.1522924586752113e-6,1.567017483648e-5,4.9198156103837693e-5,1.0941112659792848e-4,1.8320410561786348e-4,2.3966187042971846e-4,2.50814519441733e-4,2.132700019328012e-4,1.4879633808026333e-4,8.564631111263622e-5,4.074175292570732e-5,1.5989125371121134e-5,5.148670229000689e-6,1.3470658129047907e-6,2.8195028597106973e-7,4.610481618038017e-8,5.676505964545434e-9,4.950551489663291e-10,2.7268026684628436e-11,7.134235617837941e-13
loc46,2.9970834518630035e-7,3.253206699660616e-6,1.6773283594974907e-5,5.462005924382349e-5,1.2598647459566173e-4,2.1880474123813068e-4,2.96879058235318e-4,3.222495992361241e-4,2.8420294755851077e-4,2.056601465859363e-4,1.2277944128344704e-4,6.0578120420190436e-5,2.4658115594175782e-5,8.235488127593341e-6,2.23481808080855e-6,4.851600077061443e-7,8.228446363079745e-8,1.0507798573124962e-8,9.504807275087557e-10,5.430033845786264e-11,1.4735177356769235e-12
loc47,2.2340904637295376e-7,2.6111959605082827e-6,1.449678791465052e-5,5.0831362459542105e-5,1.262494210786397e-4,2.3609570601664754e-4,3.4493464110606437e-4,4.031582230524084e-4,3.8285789081241473e-4,2.9832184332386646e-4,1.917725547268319e-4,1.0188317803940763e-4,4.465524347480977e-5,1.605934437233435e-5,4.692524299513705e-6,1.0969207106342652e-6,2.0032445635508455e-7,2.7545696465886527e-8,2.6829416157212094e-9,1.6504270442580825e-10,4.8225312504646905e-12
loc48,2.7538769816365163e-7,3.227625421537117e-6,1.7968644995143858e-5,6.317935306874607e-5,1.5735215690880882e-4,2.9507422454042113e-4,4.322946679888763e-4,5.066621600383482e-4,4.824812397231111e-4,3.769882061131225e-4,2.4301274137562191e-4,1.294627879583507e-4,5.6900333830788046e-5,2.0519654535806968e-5,6.0124107814696665e-6,1.4093447174581653e-6,2.5809277634481823e-7,3.558733897916801e-8,3.475784646516879e-9,2.14406452386448e-10,6.282267879780563e-12
loc49,2.928645586612132e-7,3.506326126323307e-6,1.9940287094351932e-5,7.16206323410344e-5,1.8221434951259924e-4,3.490503253559574e-4,5.223764019074419e-4,6.254160742958496e-4,6.083841602616304e-4,4.855926770878193e-4,3.197571819595485e-4,1.7401356982055163e-4,7.812677073991825e-5,2.8780743054627562e-5,8.614448925533606e-6,2.0627328529989605e-6,3.8587665143522727e-7,5.4351941856896295e-08,5.422746570986858e-9,3.41704892441545e-10,1.0227669723312944e-11
loc50,3.0432484347819394e-7,3.7275295271039762e-06,2.168694544585576e-5,7.968990823574971e-5,2.074177630234376e-4,4.0648976391366784e-4,6.223623497740713e-4,7.623018905805799e-4,7.586370548159978e-4,6.194788415041017e-4,4.173235105297898e-4,2.3234528097663886e-4,1.0672073532822066e-4,4.022065445630595e-5,1.231608922983556e-5,3.0170777868780034e-6,5.774178674310205e-7,8.32060638473544e-8,8.492927499233705e-9,5.475042576064268e-10,1.6765294800762194e-11
loc51,3.2518186136852046e-7,4.053695051065831e-6,2.4003216727689008e-5,8.97667420155614e-5,2.37793051308481e-4,4.7428993054424867e-4,7.390582673208801e-4,9.213050285399358e-4,9.33150242585826e-4,7.755058465544193e-4,5.317071836236888e-4,3.0128298750633055e-4,1.4084149907895644e-4,5.4022171839315596e-5,1.6835918346679108e-5,4.197508347781939e-6,8.175914790708447e-7,1.199063527299164e-7,1.2456203907126176e-8,8.172536522839534e-10,2.5469571640517434e-11
loc52,1.997761045146135e-7,2.7141186773357633e-6,1.751490300086861e-5,7.138620329275306e-5,2.0609075583881826e-4,4.479853251778395e-4,7.607800124492417e-4,0.001033580690818395,0.0011409143699860579,0.0010333491446482147,7.721382501085967e-4,4.7682353093066594e-4,2.4292613490420637e-4,1.0154912194304679e-4,3.449065757918374e-5,9.371665160525477e-6,1.989399857758832e-6,3.179716862800385e-7,3.599917078393909e-8,2.5740927385390216e-9,8.742778817113331e-11
loc53,2.0603884109494002e-7,2.851500528979739e-6,1.8745258084308896e-5,7.78282090782659e-5,2.2888657964964215e-4,5.068327501582665e-4,8.767969715687059e-4,0.0012134542278287928,0.0013644924181545862,0.0012589376616174975,9.582774606659508e-4,6.028273538304723e-4,3.1285894491957233e-4,1.332261793557992e-4,4.609501282478577e-5,1.2758754878905431e-5,2.7590062094740536e-6,4.492189932827198e-7,5.180852431213757e-8,3.773740035888287e-9,1.3056787801976884e-10
loc54,2.3087315337913145e-7,3.217905951467693e-6,2.1304280365401405e-5,8.908160551735906e-5,2.6384379334524647e-4,5.883920242345342e-4,0.0010251247107276134,0.0014288170189410863,0.0016180796516312784,0.0015035177151679208,0.0011525801909531633,7.302110196024859e-4,3.8166256309164515e-4,1.63680187450171e-4,5.703428935155507e-5,1.5898858438574107e-5,3.4624688954072965e-6,5.677627125915193e-7,6.594555585787598e-8,4.8376210409090866e-9,1.6856669247423407e-10
loc55,2.4490630354807407e-7,3.4565205409540715e-6,2.3172448755096093e-5,9.811431222366114e-5,2.942594892945256e-4,6.644918187122305e-4,0.0011723001753116832,0.0016545428098111322,0.0018973198787379953,0.001785206570460534,0.0013857674139806098,8.890104022370858e-4,4.7051913404269624e-4,2.0433045720483095e-4,7.209618660676827e-5,2.0350799168534632e-5,4.4878741846741e-6,7.451795468095139e-7,8.764332770431379e-8,6.5103514905749896e-9,2.2971196872017325e-10
loc56,2.774084934888241e-7,3.928532061016705e-6,2.6426184292920792e-5,1.1227065646703933e-4,3.37859196118069e-4,7.655371570590429e-4,0.001355148335394784,0.0019190990211142601,0.0022081638793897363,0.0020847337169487452,0.0016237674371441327,0.0010452295877707897,5.55077355649656e-4,2.4186927212138619e-4,8.56310470304617e-5,2.425335356151612e-5,5.366638869773153e-6,8.941162625917632e-7,1.0551720916726097e-7,7.864665265771412e-9,2.7843947077085606e-10
